movieId,genre
EL64,Romt
EL65,Romt
EL67,Comd
EL68,Romt
EL69,Romt
PFo10,Dram
PFo10,Epic
PFo10,Actn
PFo15,Dram
PFo20,Dram
PFo25,Dram
ReB8,Dram
ReB10,Dram
ASa14,Dram
ASa29,Dram
ASa30,Dram
ASa31,Romt
ASa34,Dram
ASa39,Comd
ASa41,Dram
ASa47,Dram
ASa49,Dram
ASa50,BioP
ASa51,Dram
ECa62,Dram
ECa64,Musc
ECa65,Advt
GD19,Surr
GMf20,Romt
GMf21,Dram
GMf40,Romt
GMf50,Romt
GMf60,Horr
GMf70,Dram
GuS10,Dram
GuS12,Dram
IGA50,BioP
IGA70,BioP
JGE10,Comd
JGE18,Hist
JGE20,Epic
JGE25,Dram
JMa30,Dram
LaW10,Comd
LFl30,Horr
LFl50,Crim
LFl70,CnRb
RaW2,Advt
RaW20,Comd
RaW47,Dram
RaW59,Advt
RaW59,BioP
RaW59,Musc
RaW60,Musc
RaW62,CnRb
RaW63,BioP
RaW64,Romt
RaW66,Advt
RaW72,Dram
RaW73,Musc
RaW75,West
RaW77,West
RaW78,Advt
RaW80,West
RaW82,Romt
RaW85,Dram
RaW87,Dram
SG30,Comd
SG33,BioP
SG37,BioP
SG43,BioP
SG54,Myst
SG60,Dram
SG66,Dram
SG69,Myst
SG71,Myst
SG71,Comd
WDT10,Docu
WDT19,Romt
WDT27,Dram
Z1510,Dram
Z1512,Dram
Z1514,Dram
Z1516,Dram
Z1518,Dram
Z1520,Dram
Z1522,Dram
Z1524,Dram
Z1526,Dram
Z1528,Dram
Z1530,Dram
Z1532,Dram
Z1536,Dram
Z1538,Dram
Z1540,Dram
Z1542,Dram
Z1544,Dram
Z1546,Dram
Z1548,Dram
Z1550,Dram
Z1552,Dram
Z1554,Dram
Z1556,Dram
Z1558,Dram
Z1560,Dram
Z1562,Dram
Z1564,Dram
Z1566,Dram
Z1568,Dram
Z1570,Dram
Z1572,Dram
Z1578,Comd
AG10,impressionistic
AG13,impressionistic
AG20,BioP
AG20,Epic
AG30,Dram
AG40,BioP
AG40,Epic
AG50,Dram
AG65,Hist
AG70,Hist
ECn167,Cond
ECn168,West
ECn168,Comd
ECn169,Comd
ECn177,Musc
ECn177,Comd
HK25,Dram
HK30,Musc
HK50,Comd
HK56,Dram
HK58,Hist
HK66,Dram
HK67,Musc
HK69,Advt
HK76,Dram
HK77,BioP
HK80,Advt
HK82,Susp
HK83,West
HK86,Epic
HK89,Advt
HK89,Romt
HK91,Romt
HK92,Advt
HK94,Advt
JqF4,Comd
JqF6,Comd
JqF25,Dram
JqF30,Dram
JqF40,Comd
JqF50,Advt
JqF50,Romt
MaN30,Dram
MaN35,Comd
MaN40,Romt
SFr42,Dram
SFr42,Comd
SFr43,Comd
SFr46,Dram
SFr60,Dram
EJL10,West
WDM3,Romt
WDM5,Romt
AbA10,Dram
BsK4,Romt Comd
BsK6,Comd
BsK16,Comd
BsK19,Comd
BsK21,Comd
BsK22,Comd
BsK23,Comd
BsK24,Comd
BsK25,Comd
BsK26,Comd
BsK27,Comd
FbM10,Dram
FLl4,Dram
FLl7,Dram
FLl10,Dram
FLl30,BioP
FLl40,Dram
FLl59,Dram
FLl62,Romt
FLl70,Dram
FLl75,Advt
FLl80,West
FLl85,Dram
FLl85,BioP
FLl89,Advt
FLl99,Actn
GM190,Musc
GM200,West
GM222,BioP
GM223,Noir
GM225,Comd
GM226,Dram
GM227,Dram
GM235,West
GM237,BioP
GM237,Dram
GM237,Romt
GM238,Comd
GM240,Comd
GM240,West
GM242,Comd
GM300,West
GM305,Susp
GM305,Comd
GM310,Comd
HL1,Comd
HL2,Comd
HL3,Comd
HL4,Comd
HL4,Docu
HL8,Comd
HL20,Comd
IF15,West
IF43,West
IF75,Comd
IF76,Dram
IF78,Dram
IF79,Hist
IF81,Romt
IF83,Dram
IF86,West
IF87,BioP
IF88,West
IF91,Dram
IF92,Dram
IF94,BioG
IF99,West
IF100,West
IF101,West
IF103,West
IF106,Dram
IF108,Advt
IF111,Comd
IF111,Actn
IF112,Actn
IF112,West
IF115,Dram
IF120,West
IF125,Comd
IF129,West
IF135,Dram
ISR5,Comd
ISR10,Horr
ISR30,Horr
RWN10,Susp
RWN15,Horr
RWN20,Susp
RWN24,Susp
RWN26,Susp
RWN28,Susp
RWN30,Susp
RWN34,Susp
RWN36,Susp
RWN38,Susp
RWN44,Susp
RWN46,Susp
RyB8,BioP
RyB9,Comd
RyB9,Cart
RyB10,Dram
RyB12,Dram
RyB14,Musc
RyB18,West
ViS5,Comd
ViS58,Dram
ViS60,West
ViS81,Musc
ViS83,Musc
ViS84,Comd
ViS86,Comd
ViS87,Comd
ChB9,Myst
EvS1,Dram
EvS6,Musc
EvS7,Dram
FrN3,Advt
FrN4,"Advt "
FrN5,Advt
FrN8,Advt
FrN11,Dram
IMS20,Dram
IMS25,Dram
IMS30,Romt
IMS35,BioP
IMS40,Dram
IMS50,Comd
IMS60,Dram
JKm10,Dram
KV24,Comd
KV25,Comd
KV26,Dram
KV27,Dram
KV34,Romt
KV34,Dram
KV38,Dram
KV40,Dram
KV42,Advt
KV50,Dram
KV54,Musc
KV55,Comd
KV56,Romt
KV56,West
KV58,Dram
KV59,Dram
KV60,Romt
KV61,West
KV62,"BioP "
TB34,Dram
TB35,Horr
TB55,Horr
TB60,Horr
TB67,Horr
TB70,Horr
WAS77,Comd
WAS80,Comd
WAS80,Romt
WAS82,Comd
WAS83,Musc
WAS85,Comd
